. . 导出了 "ZYHBCS"."IUFO_STORECELL"                   51.35 KB     107 行
. . 导出了 "ZYHBCS"."MD_COMPONENT"                     478.2 KB    2507 行
. . 导出了 "ZYHBCS"."MD_ENUMVALUE"                     501.9 KB    4859 行
. . 导出了 "ZYHBCS"."PO_ORDER_BB"                      506.4 KB    1392 行
. . 导出了 "ZYHBCS"."PUB_BCR_RETURN"                   488.4 KB    4416 行
. . 导出了 "ZYHBCS"."PUB_BUSICLASS"                    502.8 KB    4538 行
. . 导出了 "ZYHBCS"."PUB_EVENTTYPE"                    555.9 KB    3555 行
. . 导出了 "ZYHBCS"."PUB_MSGRES_RCVCONF"               48.17 KB      15 行
. . 导出了 "ZYHBCS"."PUB_PRINT_DATAITEM"               510.0 KB    4691 行
. . 导出了 "ZYHBCS"."PUB_WF_ACTINSTANCE"               513.3 KB    3390 行
. . 导出了 "ZYHBCS"."SM_BUSIWORKFLOW_CELL"             469.1 KB    3914 行
. . 导出了 "ZYHBCS"."SM_FUNCREGISTER"                  424.8 KB    2196 行
. . 导出了 "ZYHBCS"."SM_FUNCREGISTER_BAK"              421.6 KB    2177 行
. . 导出了 "ZYHBCS"."SM_METADATA_RULE"                 79.72 KB       7 行
. . 导出了 "ZYHBCS"."SM_PUB_FILESYSTEM"                28.96 KB     129 行
. . 导出了 "ZYHBCS"."SM_SECURITYLOG_201711"            494.1 KB     234 行
. . 导出了 "ZYHBCS"."SYN_USER_BAK"                     231.9 KB     201 行
. . 导出了 "ZYHBCS"."TB_FD_SHT3070748"                 23.95 KB      55 行
. . 导出了 "ZYHBCS"."TB_FD_SHT3324121"                 28.72 KB      51 行
. . 导出了 "ZYHBCS"."TB_FD_SHT3324158"                 28.64 KB      49 行
. . 导出了 "ZYHBCS"."TB_FD_SHT3324190"                 34.75 KB      51 行
. . 导出了 "ZYHBCS"."TB_FD_SHT3564449"                 28.20 KB      49 行
. . 导出了 "ZYHBCS"."TB_FD_SHT3665532"                 31.88 KB      47 行
. . 导出了 "ZYHBCS"."TB_MD_TASKDEF"                    14.11 KB       2 行
. . 导出了 "ZYHBCS"."TB_MD_WORKBOOK"                   20.69 KB       4 行
. . 导出了 "ZYHBCS"."TB_TASKLOG_EXT"                   290.7 KB     288 行
. . 导出了 "ZYHBCS"."TB_TIME"                          608.0 KB    6940 行
. . 导出了 "ZYHBCS"."WA_PERIODSTATE"                   619.5 KB    4064 行
. . 导出了 "ZYHBCS"."AP_PAYABLEBILL"                   324.7 KB     416 行
. . 导出了 "ZYHBCS"."BAP_FS_BODY"                      13.96 KB      29 行
. . 导出了 "ZYHBCS"."BD_ACCOUNT"                       262.6 KB    1241 行
. . 导出了 "ZYHBCS"."BD_CACHETABVERSION"               259.0 KB    2333 行
. . 导出了 "ZYHBCS"."BD_DI_SCHEME"                     28.45 KB       1 行
